metadata;file;mappings;datatype
asset:ew3:vv:noises;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slcvv')]/byteStream/fileLocation/@href;String
asset:ew3:vv:rfis;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slcvv')]/byteStream/fileLocation/@href;String
asset:ew3:vv:calibration;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slcvv')]/byteStream/fileLocation/@href;String
asset:ew3:hh:product;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slchh')]/byteStream/fileLocation/@href;String
asset:ew3:hh:noises;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slchh')]/byteStream/fileLocation/@href;String
asset:ew3:hh:rfis;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slchh')]/byteStream/fileLocation/@href;String
asset:ew3:hh:calibration;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slchh')]/byteStream/fileLocation/@href;String
asset:ew3:hv:product;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slchv')]/byteStream/fileLocation/@href;String
asset:ew3:hv:noises;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slchv')]/byteStream/fileLocation/@href;String
asset:ew3:hv:rfis;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slchv')]/byteStream/fileLocation/@href;String
asset:ew3:hv:calibration;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slchv')]/byteStream/fileLocation/@href;String
asset:ew3:vh:product:checksum;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slcvh')]/byteStream/checksum/text();String
asset:ew3:vh:noises:checksum;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slcvh')]/byteStream/checksum/text();String
asset:ew3:vh:rfis:checksum;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slcvh')]/byteStream/checksum/text();String
asset:ew3:vh:calibration:checksum;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slcvh')]/byteStream/checksum/text();String
asset:ew3:vv:product:checksum;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slcvv')]/byteStream/checksum/text();String
asset:ew3:vv:noises:checksum;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slcvv')]/byteStream/checksum/text();String
asset:ew3:vv:rfis:checksum;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slcvv')]/byteStream/checksum/text();String
asset:ew3:vv:calibration:checksum;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slcvv')]/byteStream/checksum/text();String
asset:ew3:hh:product:checksum;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slchh')]/byteStream/checksum/text();String
asset:ew3:hh:noises:checksum;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slchh')]/byteStream/checksum/text();String
asset:ew3:hh:rfis:checksum;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slchh')]/byteStream/checksum/text();String
asset:ew3:hh:calibration:checksum;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slchh')]/byteStream/checksum/text();String
asset:ew3:hv:product:checksum;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slchv')]/byteStream/checksum/text();String
asset:ew3:hv:noises:checksum;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slchv')]/byteStream/checksum/text();String
asset:ew3:hv:rfis:checksum;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slchv')]/byteStream/checksum/text();String
asset:ew3:hv:calibration:checksum;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slchv')]/byteStream/checksum/text();String
asset:ew3:vh:product:size;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slcvh')]/byteStream/@size;Int64
asset:ew3:vh:noises:size;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slcvh')]/byteStream/@size;Int64
asset:ew3:vh:rfis:size;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slcvh')]/byteStream/@size;Int64
asset:ew3:vh:calibration:size;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slcvh')]/byteStream/@size;Int64
asset:ew3:vv:product:size;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slcvv')]/byteStream/@size;Int64
asset:ew3:vv:noises:size;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slcvv')]/byteStream/@size;Int64
asset:ew3:vv:rfis:size;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slcvv')]/byteStream/@size;Int64
asset:ew3:vv:calibration:size;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slcvv')]/byteStream/@size;Int64
asset:ew3:hh:product:size;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slchh')]/byteStream/@size;Int64
asset:ew3:hh:noises:size;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slchh')]/byteStream/@size;Int64
asset:ew3:hh:rfis:size;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slchh')]/byteStream/@size;Int64
asset:ew3:hh:calibration:size;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slchh')]/byteStream/@size;Int64
asset:ew3:hv:product:size;manifest.safe;//dataObject[starts-with(@ID, 'products1aew3slchv')]/byteStream/@size;Int64
asset:ew3:hv:noises:size;manifest.safe;//dataObject[starts-with(@ID, 'noises1aew3slchv')]/byteStream/@size;Int64
asset:ew3:hv:rfis:size;manifest.safe;//dataObject[starts-with(@ID, 'rfis1aew3slchv')]/byteStream/@size;Int64
asset:ew3:hv:calibration:size;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1aew3slchv')]/byteStream/@size;Int64
asset:ew3:vh:measurement;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slcvh')]/byteStream/fileLocation/@href;String
asset:ew3:vv:measurement;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slcvv')]/byteStream/fileLocation/@href;String
asset:ew3:hh:measurement;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slchh')]/byteStream/fileLocation/@href;String
asset:ew3:hv:measurement;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slchv')]/byteStream/fileLocation/@href;String
asset:ew3:vh:measurement:checksum;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slcvh')]/byteStream/checksum/text();String
asset:ew3:vv:measurement:checksum;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slcvv')]/byteStream/checksum/text();String
asset:ew3:hh:measurement:checksum;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slchh')]/byteStream/checksum/text();String
asset:ew3:hv:measurement:checksum;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slchv')]/byteStream/checksum/text();String
asset:ew3:vv:measurement:size;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slcvv')]/byteStream/@size;Int64
asset:ew3:vh:measurement:size;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slcvh')]/byteStream/@size;Int64
asset:ew3:hh:measurement:size;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slchh')]/byteStream/@size;Int64
asset:ew3:hv:measurement:size;manifest.safe;//dataObject[starts-with(@ID, 's1aew3slchv')]/byteStream/@size;Int64
azimuthAngle:ew3:vh;annotation/s1*ew3*vh*.xml;//product/generalAnnotation/productInformation/platformHeading/text();Double
incidenceAngleMid:ew3:vh;annotation/s1*ew3*vh*.xml;//product/imageAnnotation/imageInformation/incidenceAngleMidSwath/text();Double
rangePixelSpacing:ew3:vh;annotation/s1*ew3*vh*.xml;//product/imageAnnotation/imageInformation/rangePixelSpacing/text();Double
azimuthPixelSpacing:ew3:vh;annotation/s1*ew3*vh*.xml;//product/imageAnnotation/imageInformation/azimuthPixelSpacing/text();Double
ascendingNodeTime:ew3:vh;annotation/s1*ew3*vh*.xml;//product/imageAnnotation/imageInformation/ascendingNodeTime/text();DateTimeOffset
shape1:ew3:vh;annotation/s1*ew3*vh*.xml;//product/imageAnnotation/imageInformation/numberOfSamples/text();Int64
shape2:ew3:vh;annotation/s1*ew3*vh*.xml;//product/imageAnnotation/imageInformation/numberOfLines/text();Int64
looksRange:ew3:vh;annotation/s1*ew3*vh*.xml;//rangeProcessing/numberOfLooks/text();Int64
looksAzimuth:ew3:vh;annotation/s1*ew3*vh*.xml;//azimuthProcessing/numberOfLooks/text();Int64
azimuthAngle:ew3:vv;annotation/s1*ew3*vv*.xml;//product/generalAnnotation/productInformation/platformHeading/text();Double
incidenceAngleMid:ew3:vv;annotation/s1*ew3*vv*.xml;//product/imageAnnotation/imageInformation/incidenceAngleMidSwath/text();Double
rangePixelSpacing:ew3:vv;annotation/s1*ew3*vv*.xml;//product/imageAnnotation/imageInformation/rangePixelSpacing/text();Double
azimuthPixelSpacing:ew3:vv;annotation/s1*ew3*vv*.xml;//product/imageAnnotation/imageInformation/azimuthPixelSpacing/text();Double
ascendingNodeTime:ew3:vv;annotation/s1*ew3*vv*.xml;//product/imageAnnotation/imageInformation/ascendingNodeTime/text();DateTimeOffset
shape1:ew3:vv;annotation/s1*ew3*vv*.xml;//product/imageAnnotation/imageInformation/numberOfSamples/text();Int64
shape2:ew3:vv;annotation/s1*ew3*vv*.xml;//product/imageAnnotation/imageInformation/numberOfLines/text();Int64
looksRange:ew3:vv;annotation/s1*ew3*vv*.xml;//rangeProcessing/numberOfLooks/text();Int64
looksAzimuth:ew3:vv;annotation/s1*ew3*vv*.xml;//azimuthProcessing/numberOfLooks/text();Int64
azimuthAngle:ew3:hh;annotation/s1*ew3*hh*.xml;//product/generalAnnotation/productInformation/platformHeading/text();Double
incidenceAngleMid:ew3:hh;annotation/s1*ew3*hh*.xml;//product/imageAnnotation/imageInformation/incidenceAngleMidSwath/text();Double
rangePixelSpacing:ew3:hh;annotation/s1*ew3*hh*.xml;//product/imageAnnotation/imageInformation/rangePixelSpacing/text();Double
azimuthPixelSpacing:ew3:hh;annotation/s1*ew3*hh*.xml;//product/imageAnnotation/imageInformation/azimuthPixelSpacing/text();Double
ascendingNodeTime:ew3:hh;annotation/s1*ew3*hh*.xml;//product/imageAnnotation/imageInformation/ascendingNodeTime/text();DateTimeOffset
shape1:ew3:hh;annotation/s1*ew3*hh*.xml;//product/imageAnnotation/imageInformation/numberOfSamples/text();Int64
shape2:ew3:hh;annotation/s1*ew3*hh*.xml;//product/imageAnnotation/imageInformation/numberOfLines/text();Int64
looksRange:ew3:hh;annotation/s1*ew3*hh*.xml;//rangeProcessing/numberOfLooks/text();Int64
looksAzimuth:ew3:hh;annotation/s1*ew3*hh*.xml;//azimuthProcessing/numberOfLooks/text();Int64
azimuthAngle:ew3:hv;annotation/s1*ew3*hv*.xml;//product/generalAnnotation/productInformation/platformHeading/text();Double
incidenceAngleMid:ew3:hv;annotation/s1*ew3*hv*.xml;//product/imageAnnotation/imageInformation/incidenceAngleMidSwath/text();Double
rangePixelSpacing:ew3:hv;annotation/s1*ew3*hv*.xml;//product/imageAnnotation/imageInformation/rangePixelSpacing/text();Double
azimuthPixelSpacing:ew3:hv;annotation/s1*ew3*hv*.xml;//product/imageAnnotation/imageInformation/azimuthPixelSpacing/text();Double
ascendingNodeTime:ew3:hv;annotation/s1*ew3*hv*.xml;//product/imageAnnotation/imageInformation/ascendingNodeTime/text();DateTimeOffset
shape1:ew3:hv;annotation/s1*ew3*hv*.xml;//product/imageAnnotation/imageInformation/numberOfSamples/text();Int64
